StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q1,Q5,Q4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Enter your feedback,Select a category,Select your primary role,Uniqname (Optional)
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID5""}","{""ImportId"":""QID4_TEXT""}"
2020-03-05 09:05:35,2020-03-05 09:06:54,Survey Preview,,100,78,True,2020-03-05 09:06:54,R_2Xo0xRusGOy84uG,,,,,42.306793212890625,-83.705902099609375,preview,EN,"Ross bathroom, south side of building, very dirty",Life at Michigan,,
2020-03-05 09:46:23,2020-03-05 09:49:47,IP Address,35.1.209.66,100,204,True,2020-03-05 09:49:48,R_2YFdKuuk7DlwYOo,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,"Great Faculty and Facilities, awesome learning experience",Academics,Faculty & Staff,hemashah
2020-03-05 11:40:10,2020-03-05 11:41:09,IP Address,35.1.212.191,100,58,True,2020-03-05 11:41:10,R_1r09b4l1cJcR4eh,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,I can't believe that we have to take classes during a virus.,Life at Michigan,Current Student,
2020-03-05 11:41:19,2020-03-05 11:41:35,IP Address,35.1.212.191,100,16,True,2020-03-05 11:41:35,R_O9wNIDzcHVLmvgR,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,This is the best school in the world.,Life at Michigan,Current Student,
2020-03-05 11:38:57,2020-03-05 11:41:59,IP Address,67.194.3.92,100,181,True,2020-03-05 11:41:59,R_1hLGTAH9r6jIO4i,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,North Quad dining hall is dirty and the food is terrible.,Life at Michigan,Current Student,
2020-03-05 11:41:45,2020-03-05 11:42:01,IP Address,35.1.212.191,100,16,True,2020-03-05 11:42:02,R_1k0S4iMhWzcuYgA,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,I don't make enough money for how hard I'm working.,Academics,Faculty & Staff,
2020-03-05 11:41:07,2020-03-05 11:42:10,IP Address,35.1.36.66,100,63,True,2020-03-05 11:42:11,R_3ef9s86K97opH8b,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,The seats are really uncomfortable in the big house and sometimes the weather is bad,Athletics,Current Student,abbacada
2020-03-05 11:42:05,2020-03-05 11:42:20,IP Address,35.1.212.191,100,14,True,2020-03-05 11:42:20,R_1mR897EIH3TwTIp,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,Go to hell UM.  On Buckeyes.,None of these,None of these,
